"BIN","AT_CG_AAA(TTT)","AT_CG_AAC(GTT)","AT_CG_AAG(CTT)","AT_CG_AAT(ATT)","AT_CG_CAA(TTG)","AT_CG_CAC(GTG)","AT_CG_CAG(CTG)","AT_CG_CAT(ATG)","AT_CG_GAA(TTC)","AT_CG_GAC(GTC)","AT_CG_GAG(CTC)","AT_CG_GAT(ATC)","AT_CG_TAA(TTA)","AT_CG_TAC(GTA)","AT_CG_TAG(CTA)","AT_CG_TAT(ATA)","AT_GC_AAA(TTT)","AT_GC_AAC(GTT)","AT_GC_AAG(CTT)","AT_GC_AAT(ATT)","AT_GC_CAA(TTG)","AT_GC_CAC(GTG)","AT_GC_CAG(CTG)","AT_GC_CAT(ATG)","AT_GC_GAA(TTC)","AT_GC_GAC(GTC)","AT_GC_GAG(CTC)","AT_GC_GAT(ATC)","AT_GC_TAA(TTA)","AT_GC_TAC(GTA)","AT_GC_TAG(CTA)","AT_GC_TAT(ATA)","AT_TA_AAA(TTT)","AT_TA_AAC(GTT)","AT_TA_AAG(CTT)","AT_TA_AAT(ATT)","AT_TA_CAA(TTG)","AT_TA_CAC(GTG)","AT_TA_CAG(CTG)","AT_TA_CAT(ATG)","AT_TA_GAA(TTC)","AT_TA_GAC(GTC)","AT_TA_GAG(CTC)","AT_TA_GAT(ATC)","AT_TA_TAA(TTA)","AT_TA_TAC(GTA)","AT_TA_TAG(CTA)","AT_TA_TAT(ATA)","GC_AT_ACA(TGT)","GC_AT_ACC(GGT)","GC_AT_ACG(CGT)","GC_AT_ACT(AGT)","GC_AT_CCA(TGG)","GC_AT_CCC(GGG)","GC_AT_CCG(CGG)","GC_AT_CCT(AGG)","GC_AT_GCA(TGC)","GC_AT_GCC(GGC)","GC_AT_GCG(CGC)","GC_AT_GCT(AGC)","GC_AT_TCA(TGA)","GC_AT_TCC(GGA)","GC_AT_TCG(CGA)","GC_AT_TCT(AGA)","GC_CG_ACA(TGT)","GC_CG_ACC(GGT)","GC_CG_ACG(CGT)","GC_CG_ACT(AGT)","GC_CG_CCA(TGG)","GC_CG_CCC(GGG)","GC_CG_CCG(CGG)","GC_CG_CCT(AGG)","GC_CG_GCA(TGC)","GC_CG_GCC(GGC)","GC_CG_GCG(CGC)","GC_CG_GCT(AGC)","GC_CG_TCA(TGA)","GC_CG_TCC(GGA)","GC_CG_TCG(CGA)","GC_CG_TCT(AGA)","GC_TA_ACA(TGT)","GC_TA_ACC(GGT)","GC_TA_ACG(CGT)","GC_TA_ACT(AGT)","GC_TA_CCA(TGG)","GC_TA_CCC(GGG)","GC_TA_CCG(CGG)","GC_TA_CCT(AGG)","GC_TA_GCA(TGC)","GC_TA_GCC(GGC)","GC_TA_GCG(CGC)","GC_TA_GCT(AGC)","GC_TA_TCA(TGA)","GC_TA_TCC(GGA)","GC_TA_TCG(CGA)","GC_TA_TCT(AGA)"
565,5,2,5,2,4,3,11,7,6,1,3,3,2,1,1,3,8,10,6,17,6,13,13,16,9,3,5,9,1,7,1,15,5,0,2,3,5,4,3,5,3,6,1,5,1,3,0,4,24,13,50,17,19,16,44,24,10,27,29,21,8,10,31,17,5,3,2,5,3,7,2,2,4,5,1,2,3,4,3,6,2,10,2,5,7,4,2,3,5,7,6,3,4,6,2,7
566,5,0,3,4,5,4,6,7,0,2,2,2,3,1,2,2,8,7,6,18,9,10,13,25,5,4,7,5,8,3,4,20,2,3,0,4,3,4,5,8,3,5,5,6,0,0,0,5,21,19,56,12,21,23,58,25,14,20,35,16,20,16,33,19,7,5,2,6,1,10,2,2,1,6,2,3,3,6,1,18,10,15,3,7,4,8,0,4,7,9,5,9,4,8,2,7
567,8,1,2,3,3,3,1,5,1,3,4,1,1,1,0,0,7,13,10,16,7,13,7,13,8,6,4,10,13,7,10,12,7,1,0,2,3,5,3,5,2,3,2,3,1,1,0,4,33,17,61,15,17,7,45,22,13,14,31,11,13,14,40,12,9,4,1,3,7,8,2,5,5,4,1,5,4,7,1,9,6,14,3,1,8,10,2,6,7,7,4,5,5,5,2,5
568,1,0,3,2,0,4,3,6,4,0,1,2,1,0,0,4,10,9,7,20,7,11,10,23,6,5,6,7,6,7,4,9,7,1,2,3,1,2,2,2,0,3,6,0,3,1,2,1,21,18,57,13,21,15,64,17,18,14,33,11,16,13,38,13,4,4,4,3,7,4,0,3,0,2,1,5,4,10,2,9,4,10,4,5,10,6,3,5,4,7,6,7,1,6,3,0
569,7,0,1,7,4,1,2,6,4,0,3,2,4,0,0,2,11,8,10,20,4,8,8,29,8,4,6,12,14,11,11,28,5,1,2,4,3,2,5,2,0,2,1,7,3,0,0,1,26,16,37,19,11,13,29,18,10,12,33,14,17,9,33,19,3,7,8,5,2,5,3,3,5,3,0,4,4,5,1,5,6,10,0,1,5,2,2,5,3,7,3,2,5,7,2,3
570,8,1,7,4,5,3,1,5,1,1,4,1,2,4,1,2,16,5,6,26,6,6,10,28,9,1,3,12,12,6,5,26,2,0,2,0,1,0,3,5,2,1,6,6,4,2,0,4,29,16,42,18,20,21,42,25,10,6,29,16,18,11,26,12,5,3,0,8,6,5,0,3,2,2,2,3,2,5,1,8,8,7,3,0,3,7,4,3,6,4,6,3,3,1,0,6
571,2,2,2,6,5,3,4,5,3,3,3,5,2,1,0,1,6,9,6,21,8,7,12,18,9,6,9,7,6,5,4,11,1,0,4,2,2,2,1,7,1,3,1,7,4,1,0,3,21,10,38,17,25,11,46,15,10,12,46,14,19,26,31,11,6,3,0,5,5,6,3,0,1,5,4,5,3,3,1,9,5,7,0,3,3,4,2,6,3,6,4,2,4,4,4,4
572,2,0,1,2,5,1,3,6,0,1,0,3,1,3,1,3,17,4,12,16,7,14,11,21,8,4,8,5,4,4,4,16,0,1,3,3,0,0,6,3,4,2,1,1,2,0,1,1,24,14,68,15,24,24,62,20,21,8,43,12,11,17,39,16,5,4,3,5,1,5,1,6,4,5,0,6,0,6,4,6,4,7,4,0,5,7,3,1,3,7,4,5,4,7,1,5
573,6,0,2,2,5,1,2,6,2,1,1,2,0,3,2,1,15,14,10,17,1,11,12,5,3,4,4,9,7,6,5,17,4,0,0,3,2,3,4,7,2,2,0,3,3,0,0,0,24,11,66,13,10,13,59,23,12,14,25,6,13,14,34,5,3,7,3,5,4,9,1,5,5,3,3,4,4,8,2,8,5,4,3,3,8,1,2,5,2,6,2,2,5,2,0,2
574,5,3,2,2,0,5,4,4,3,2,2,1,0,1,0,2,10,7,3,16,5,7,12,18,6,5,9,6,3,4,5,22,3,2,2,4,1,3,5,2,2,0,5,1,6,0,1,0,18,13,63,10,16,13,53,19,24,15,45,19,13,19,32,18,8,3,1,7,6,4,3,3,5,7,1,1,5,7,0,8,7,7,1,4,2,10,1,3,9,3,4,2,6,2,3,7
