"BIN","AT_CG_AAA(TTT)","AT_CG_AAC(TTG)","AT_CG_AAG(TTC)","AT_CG_AAT(TTA)","AT_CG_ATA(TAT)","AT_CG_ATC(TAG)","AT_CG_ATG(TAC)","AT_CG_ATT(TAA)","AT_CG_CAA(GTT)","AT_CG_CAC(GTG)","AT_CG_CAG(GTC)","AT_CG_CAT(GTA)","AT_CG_CTA(GAT)","AT_CG_CTC(GAG)","AT_CG_CTG(GAC)","AT_CG_CTT(GAA)","AT_GC_AAA(TTT)","AT_GC_AAC(TTG)","AT_GC_AAG(TTC)","AT_GC_AAT(TTA)","AT_GC_ATA(TAT)","AT_GC_ATC(TAG)","AT_GC_ATG(TAC)","AT_GC_ATT(TAA)","AT_GC_CAA(GTT)","AT_GC_CAC(GTG)","AT_GC_CAG(GTC)","AT_GC_CAT(GTA)","AT_GC_CTA(GAT)","AT_GC_CTC(GAG)","AT_GC_CTG(GAC)","AT_GC_CTT(GAA)","AT_TA_AAA(TTT)","AT_TA_AAC(TTG)","AT_TA_AAG(TTC)","AT_TA_AAT(TTA)","AT_TA_ATA(TAT)","AT_TA_ATC(TAG)","AT_TA_ATG(TAC)","AT_TA_ATT(TAA)","AT_TA_CAA(GTT)","AT_TA_CAC(GTG)","AT_TA_CAG(GTC)","AT_TA_CAT(GTA)","AT_TA_CTA(GAT)","AT_TA_CTC(GAG)","AT_TA_CTG(GAC)","AT_TA_CTT(GAA)","GC_AT_ACA(TGT)","GC_AT_ACC(TGG)","GC_AT_ACG(TGC)","GC_AT_ACT(TGA)","GC_AT_AGA(TCT)","GC_AT_AGC(TCG)","GC_AT_AGG(TCC)","GC_AT_AGT(TCA)","GC_AT_CCA(GGT)","GC_AT_CCC(GGG)","GC_AT_CCG(GGC)","GC_AT_CCT(GGA)","GC_AT_CGA(GCT)","GC_AT_CGC(GCG)","GC_AT_CGG(GCC)","GC_AT_CGT(GCA)","GC_CG_ACA(TGT)","GC_CG_ACC(TGG)","GC_CG_ACG(TGC)","GC_CG_ACT(TGA)","GC_CG_AGA(TCT)","GC_CG_AGC(TCG)","GC_CG_AGG(TCC)","GC_CG_AGT(TCA)","GC_CG_CCA(GGT)","GC_CG_CCC(GGG)","GC_CG_CCG(GGC)","GC_CG_CCT(GGA)","GC_CG_CGA(GCT)","GC_CG_CGC(GCG)","GC_CG_CGG(GCC)","GC_CG_CGT(GCA)","GC_TA_ACA(TGT)","GC_TA_ACC(TGG)","GC_TA_ACG(TGC)","GC_TA_ACT(TGA)","GC_TA_AGA(TCT)","GC_TA_AGC(TCG)","GC_TA_AGG(TCC)","GC_TA_AGT(TCA)","GC_TA_CCA(GGT)","GC_TA_CCC(GGG)","GC_TA_CCG(GGC)","GC_TA_CCT(GGA)","GC_TA_CGA(GCT)","GC_TA_CGC(GCG)","GC_TA_CGG(GCC)","GC_TA_CGT(GCA)"
167,0.003,0.0018,0,0,0.0022,0,0,0,0,0.0028,0,0,0,0.0024,0.0016,0,7e-04,0.0035,0.002,0.0019,0.0043,0,0.0073,0.0036,0.0078,0.0042,0.0049,0.0119,0.0022,0.0012,0,0.0019,0.0015,0,0.002,0.0038,0,0,0.0024,0.0018,0,0.0014,0.0016,0,0,0,0,0,0.0078,0.0089,0.0106,0.0031,0.0027,0.017,0.0015,0.0063,0.0045,0.0091,0.0194,0.0057,0.0131,0.0519,0.0114,0.0096,0.0016,0,0,0,0,0,0.0015,0.0016,0,0,0.0049,0.0028,0.0079,0,0,0,0.0016,0.0015,0.0027,0.0016,0.0014,0.0028,0,0,0.006,0.0018,0.0024,0.0014,0,0.0065,0.0023,0.0064
168,0.0016,0,0,0,0,0.0054,0.0023,0,0,0,0.0022,0.0044,0,0,0,0,0.0016,0.0035,0,0.0112,0.0086,0.0108,0.0023,0.0052,0.0039,0,0.0044,0.0044,0,0.0019,0.0044,0.0065,8e-04,0.0017,0,0.0056,0.0022,0.0027,0,0,0,0,0,0,0,0,0,0.0032,0.0056,0.01,0,0,0.0043,0.0047,0.0019,0.0039,0.0093,0.0078,0.0278,0.0061,0,0.0923,0.0278,0.0126,0,0,0,0,0.0043,0.0142,0.0019,0,0.0019,0,0.0093,0,0.0036,0,0,0,0.0042,0.002,0.0096,0.004,0,0,0,0.0039,0.0037,0,0,0,0,0,0,0
169,0,0.0012,0.0012,0.0036,0.0012,0.0018,0,0,0.0024,0.0016,0,0,0,0.0015,0,0,5e-04,0.0012,0,0.0012,0.0048,0.007,0.0016,0.0067,0.0012,0.0063,0.005,0.003,0.0018,0.0015,0.0032,0.0038,0.0011,0,0,0.0024,0.0012,0,0.0016,0,0,0.0032,0,0.0015,0,0.0015,0,0,0.0043,0.0116,0.0101,0.0043,0.0043,0.0062,0.0088,0.0066,0.0014,0.0087,0.0146,0.0045,0.0135,0.1477,0.0033,0.0126,0.0022,0,0.0025,0.0028,0,0.0031,0.0044,0.0026,0,0,0,0,0,0,0,0,0.0022,0.0043,0.0076,0.0028,0,0,0.0029,0,0.0041,0.0022,0.0073,0,0,0.0114,0.0066,0.0032
170,0,0.002,0.005,0,0,0,0.0022,0,0.0019,0.0046,0.0025,0.0026,0,0,0,0,0.0019,0,0.0067,0.0058,0.0084,0.003,0.0044,0.0063,0.0019,0,0.005,0.0051,0,0.0038,0,0.0017,9e-04,0,0,0,0,0,0.0022,0,0,0,0,0,0,0,0,0,0.0067,0.0061,0,0.006,0.0033,0.014,0.0036,0,0.0063,0.0093,0.035,0.0087,0.0223,0.0667,0.0243,0.0045,0.0017,0,0,0.002,0.0016,0.0047,0.0018,0,0,0,0,0.0017,0,0,0,0,0.005,0.002,0,0.002,0,0,0.0018,0,0,0.0023,0.005,0.0017,0,0.0333,0,0.0182
171,7e-04,0,0,0.0043,0,0,0,0,0.0018,0.0018,0.0024,0.0019,0,0,0,0,7e-04,0.0035,0.0018,0.0014,0.0076,0.0023,0.008,0.0015,0.0037,0.0018,0.0073,0.0095,0.0053,0,0.0024,0.0049,0,0.0018,0,0.0029,0,0,0.006,0,0,0.0018,0.0024,0.0057,0,0,0,0,0.0025,0.0021,0.0074,0.008,0,0.0096,0.0105,0.002,0.0103,0.016,0.0097,0.0152,0.0083,0.0952,0.0152,0.0248,0.005,0.0042,0.0037,0.002,0.0029,0,0.0021,0.002,0,0,0,0.0022,0,0,0,0.0041,0,0,0,0.004,0.0074,0,0,0,0.0021,0,0,0,0,0,0.0051,0
172,0,0,0.0018,0,0.0029,0,0,0,0.0018,0.0018,0,0,0,0.0018,0.0021,0,7e-04,0.0036,0.0035,0.0016,0.0102,0.0022,0.0039,0.0033,0.0018,0.0018,0,0.0019,0.0048,0.0055,0.0042,0.0034,0.0014,0,0,0,0,0,0.0039,0,0,0.0036,0,0.0019,0.0024,0.0018,0,0,0.0014,0.0034,0.0103,0,0.003,0.0212,0,0.0055,0.0093,0.0137,0.0236,0.007,0.0115,0.0783,0.0279,0.0159,0.0014,0.0017,0,0.0019,0.0015,0,0.0019,0,0,0,0,0.0017,0.0038,0,0,0,0.0014,0.0034,0.0034,0.0019,0.0045,0,0.0019,0,0.0056,0.0023,0.0039,0,0,0.0087,0.004,0
173,0,0,0,0,0,0,0,0,0,0.0023,0,0,0,0,0,0,0,0.0031,0.0086,0.0068,0.0061,0.0043,0.0123,0.0092,0.0085,0,0.0033,0,0.0079,0,0,0,0,0,0.0029,0.0023,0,0.0043,0,0.0023,0,0,0.013,0,0,0,0.0032,0,0.0085,0,0.0103,0,0.0025,0.0166,0,0.0087,0,0.0029,0.017,0.0026,0.0056,0.0254,0.0343,0.0103,0,0,0,0.0029,0.0049,0,0,0,0,0,0,0,0,0,0,0.0051,0,0.0026,0,0,0,0,0.0026,0.0029,0,0,0,0,0.0056,0,0.0043,0
174,8e-04,0.002,0,0,0,0,0,0,0.002,0,0,0.0026,0,0.0018,0.0022,0.0034,0.0042,0.004,0.0035,0.0058,0.0068,0.0082,0.0024,0.0021,0,0,0.0021,0,0.0026,0.0036,0.0043,0.0017,8e-04,0,0.0017,0,0.0068,0,0.0024,0,0.002,0,0,0,0,0,0,0,0.0032,0.0076,0.0165,0.0062,0.0028,0.0107,0.0059,0.0043,0.0063,0.0077,0.012,0.0037,0.0082,0.0723,0.0265,0.0162,0.0016,0.0019,0,0,0.0028,0,0.0059,0.0022,0.0021,0.0026,0.004,0.0037,0.0041,0,0,0,0,0.0038,0.0041,0.0021,0.0042,0,0,0,0.0021,0.0026,0,0.0018,0,0,0.0044,0.0065
175,0,0,0,0,0,0,0.0063,0,0,0.0019,0,0,0,0,0.0022,0.0029,0.001,0,0,0.0055,0.0086,0.0066,0.0063,0,0.0029,0,0.0021,0.0059,0,0,0.0022,0.0029,0,0,0,0,0,0.0033,0,0,0,0.0019,0.0021,0,0,0,0.0022,0.0029,0.0144,0.0021,0.0124,0,0.0018,0.0178,0.0054,0.0066,0.0062,0.0089,0.0066,0.0038,0.0077,0.0678,0.0171,0.0217,0.0021,0,0,0,0.0035,0,0,0,0.0021,0,0,0,0,0,0.0034,0.0036,0.0021,0,0,0,0.0018,0.0036,0.0036,0.0022,0.0021,0,0,0.0019,0,0,0.0068,0
176,0,0.0021,0.0025,0.0021,0.0026,0.0026,0,0,0.0045,0,0,0,0,0,0.0032,0,7e-04,0.0042,0.0101,0.0042,0.0052,0.0026,0.0026,0.0022,0,0,0.0032,0.0051,0.0054,0.0011,0.008,0.0068,0,0.0021,0,0.0021,0,0,0,0.0022,0,0.0014,0,0,0,0.0033,0.0016,0,0,0.0089,0.003,0.0032,0.0032,0.0145,0.0054,0.0056,0.0014,0.0016,0.0135,0.007,0.0188,0.0346,0.0156,0.0026,0.0018,0.0015,0,0.0047,0.0032,0,0,0,0,0,0,0.0014,0.0054,0,0,0,0,0.003,0.003,0.0016,0,0,0,0.0019,0.0014,0.0031,0.0019,0.0014,0,0,0.0039,0.0026
177,0.0014,0,0,0,0,0,0,0,0.0037,0,0.0025,0,0,0,0.0025,0,0.0041,0.0033,0.0032,0,0,0,0.0152,0,0,0.0026,0,0,0,0.0018,0.0025,0.0032,0,0,0,0,0,0,0,0,0,0,0.0025,0,0,0,0,0,0.0033,0.0023,0.0169,0.0032,0,0.0036,0.0045,0.0126,0.0023,0.0016,0.014,0.002,0.0081,0.0157,0.0181,0.0047,0,0,0,0,0,0.0036,0.0023,0,0.0023,0.0032,0.002,0,0,0,0,0,0.0033,0,0,0,0.0023,0,0,0,0.0069,0.0016,0,0,0,0,0.0036,0.0141
178,9e-04,0,0,0,0,0,0,0,0,0,0,0,0,0.0013,0,0.0023,0,0,0,0,0.0131,0,0.0059,0.0025,0,0.0015,0.0052,0.0031,0,0,0,0.0023,0.0018,0,0,0,0,0.0052,0,0,0.0024,0,0.0017,0,0,0,0,0,0.0076,0.0048,0.017,0.0019,0.0046,0.0141,0.0063,0.002,0.0082,0.0055,0.022,0.0031,0.0212,0.0404,0.0113,0.0265,0,0,0.0034,0.0019,0.0015,0,0.0016,0.002,0,0,0.0044,0,0,0.0051,0.0045,0,0.0019,0,0,0.0019,0,0.0056,0,0,0,0,0,0.0016,0.0061,0,0.0023,0.0059
179,6e-04,0.0016,0.0071,0.0018,0.0051,0,0,0,0,0,0.0013,0,0,9e-04,0.0014,0.0035,0.0026,0.0016,0.0088,0.0037,0.0101,0.0022,0,0.0073,0.0017,0.0072,0,0.0087,0,0.0019,0.0014,0.0017,0,0.0016,0,0.0018,0,0.0022,0.0023,0,0,0.0036,0,0,0.0022,0,0,0,0.0014,0.0102,0.0122,0.0056,0.0024,0.0167,0.0058,0.0029,0,0.0076,0.0146,0.0085,0.0246,0.0537,0.0143,0.0159,0,0,0.0024,0,0.0012,0,0,0,0,0,0.0018,0.0012,0,0,0,0,0.0014,0.0025,0,0.0014,0.0012,0,0,0.0014,0,0.0015,0,0.0036,0,0.0098,0,0.0046
180,0,0.004,0,0.0014,0,0,0,0,0,9e-04,0.002,0,0.0017,0,0.001,0,0,0.0027,0.0048,0.0042,0.0067,0,0.0092,0.0028,0.0052,9e-04,0.002,0.0071,0.0035,0.0015,0.001,0.0033,0,0.0013,0,0.0028,0,0.0017,0,0.0014,0,9e-04,0.002,0.0053,0,0,0,0,0.0045,0.0018,0.0208,0.0047,0.0021,0.0079,0.0028,0.0056,0.0018,0,0.0082,0.0048,0.011,0.0504,0.0122,0.0089,0.0011,9e-04,0,0,0.0021,0,0.0019,0,0.0018,0.001,0,0,0.0016,0,0,0,0.0034,9e-04,0,0.0012,0,0.0016,0.0019,0.0023,0.0028,0.001,0.0012,0,0.0016,0,0,0
181,0.0023,0,0.0024,0,0,0,0,0,0,7e-04,9e-04,0,0,6e-04,0.0036,0,5e-04,0,0.0047,0.0023,0.0098,0.0026,0.004,0.0036,0.0022,7e-04,0.0043,0,0.0013,0.0011,0.0018,0.0023,5e-04,0.0023,0.0012,0,0.0012,0.0026,0.0013,0,0,7e-04,0.0017,0.0042,0.0038,6e-04,0,0,0.0042,0.0075,0.0111,0.0034,0.0024,0.0176,0.0033,0.0056,0.0049,0.0031,0.0153,0.0057,0.0095,0.0466,0.019,0.0197,0.001,0,0,8e-04,0.0016,0,7e-04,9e-04,0,0,0,0,0,0.0021,0.0011,0,0.001,0.0023,0.0016,8e-04,0.0024,0.0014,0.0013,9e-04,0.0021,8e-04,0.002,0,0.0027,0.0042,0.0063,0.0046
182,0,0.0022,0,0.0031,0.0017,0.0014,0,0.001,0.0011,7e-04,0.003,0.0028,0,0,9e-04,0,9e-04,0,0.0011,0.0021,0.0066,0,0.0014,0.0021,0.0022,7e-04,0.001,0.0043,0.0014,7e-04,0.0036,0.0033,4e-04,0,0,0,0,0.0014,0.0014,0.0021,0,0,0,0.0028,0.0014,0,9e-04,0,0.0055,0.0031,0.0182,0.0079,0.005,0.0066,0.0025,0.0029,0.0032,0.0039,0.0128,0.0016,0.0135,0.0657,0.0138,0.0137,0.0018,0,0,0.001,8e-04,0,0.0025,0,8e-04,0.001,0.0013,0,0.0015,0,0.0013,0,0,8e-04,0.0015,0.001,0,0.0017,0.0017,0.001,0.0039,0.0019,0.0038,8e-04,0.003,0,0.0038,0.0017
183,6e-04,0,0,0,0,0,0,0.0015,0,0,0,0,0.002,0.0011,0.0016,0,6e-04,0,0.0017,0.0027,0,0.0019,0.0018,0.0077,0,0.0026,0.0031,0.0061,0,0,0,0,0,0,0,0,0,0,0.0018,0,0,0.0013,0.0015,0.002,0.002,0,0,0,0.0122,0.0051,0.0026,0.0043,0.0025,0.0162,0.0071,0.0045,0.0041,0.0053,0.0169,0.0027,0.0175,0.0489,0.0127,0.0093,0,0,0,0.0014,0.0012,0.0046,0,0.0015,0.0014,0,0.0021,0,0,0,0,0,0.0027,0.0051,0,0.0014,0.0012,0,0.0028,0,0.0027,0,0,0.0013,0,0.0054,0.0021,0.007
184,5e-04,0.0013,0,0.0012,0.0014,0,0.003,0,0,0.0012,0,0,0,0.001,0.0013,0,5e-04,0.0038,0,0.0035,0.0087,0.0016,0.006,0.0024,0.0035,0.0047,0,0.0047,0.0031,0,0.0039,0.0014,5e-04,0.0013,0.0013,0,0.0029,0,0,0,0.0012,0.0023,0,0,0,0,0.0013,0,0.0053,0.0055,0.0228,0.0063,0.002,0.0166,0.0066,0.0013,0.0066,0.004,0.0117,0.0055,0.0119,0.0493,0.0231,0.012,0,0,0,0,0.002,0.0041,0,0,0,0.0027,0,0,0.0048,0,0.0038,0,0,0.0022,0,0.0013,0,0.0021,0.0022,0.0013,0.0011,0,0,0.0033,0.0024,0.0049,0.0019,0.002
185,5e-04,0,0,0.0024,0,0.0017,0.0016,0.0013,0.0013,0.001,0,0,0,0,0.0024,0,0.002,0.0055,0.0013,0.0037,0.0105,0.0066,0.0033,0.0063,0.0052,0.0019,0,0.0083,0.0017,0.0017,0.0035,0.0027,5e-04,0,0.0013,0,0,0,0.0049,0.0013,0.0013,0.0019,0.0012,0,0.0035,8e-04,0,0.0014,0.0059,0.0039,0.0193,0.0067,0.0061,0.0094,0.002,0.0034,0.004,0.0038,0.0143,0.0052,0.0077,0.0359,0.0211,0.0157,0.0023,0.001,0,0.0011,0.0031,0.0037,0.001,0.0011,0.003,0,0.0014,0.0021,0.0019,0,0.0015,0,0,0.0039,0,0.0011,0,0,0.001,0.0034,0.003,0.0013,0,0,0,0,0.0015,0.002
186,4e-04,0,0.001,9e-04,0.0021,0,0.0024,9e-04,0.0019,8e-04,0,0,0,0,0,0.001,0.0019,0.0018,0.002,0.0036,0.0064,0.005,0.0024,0.0036,0.0037,0.0024,0.0018,0.0062,0.0048,0.0013,0.0044,0.001,4e-04,0,0.001,0.0018,0.0021,0.0012,0,0.0018,9e-04,0,9e-04,0,0,0.0013,0,0,0.0059,0.003,0.0293,0.0034,0.0023,0.0029,0.0016,0.0026,0.0048,9e-04,0.0235,0.0031,0.0107,0.0434,0.018,0.006,0,7e-04,0.0031,9e-04,0.0023,0,0.0023,9e-04,0,0.0019,0.0012,0,0.0013,0,0.0013,0.003,0,7e-04,0,9e-04,0.0023,0.0014,0,9e-04,0.0016,0.0019,0,8e-04,0,0,0.0013,0
187,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019,0,0.0019,0,0,0.0024,0.0085,0.0055,0.0027,0.0069,0.0046,0,0.004,0,0,0.0014,0.0019,0,0.001,0,0,0,0,0,0,0.0046,0.0023,0,0,0.0026,0,0.0014,0,0.0025,0.0033,0.0089,0.0064,0.0062,0.0017,0.0132,0.005,0.0058,0.0034,0.002,0.0213,0.0032,0.0156,0.0126,0.0108,0.004,0.0016,0.0018,0,0,0.0017,0.0033,0,0,0,0,0.003,0.0016,0,0,0,0,0,0.0018,0.0032,0,0,0,0,0,0,0,0.003,0.0016,0.0031,0.0252,0,0
188,0,0.0017,0.0015,0.0018,0,0,0,0,0,0,0,0,0,0,0,0,0.0014,0,0.0046,0.0035,0.0067,0.0045,0.0099,0.0034,0.0016,0,0.0073,0.0021,0.005,0.0014,0,0.0016,0,0.0017,0,0.0035,0.0022,0.0023,0,0,0.0016,0,0.0018,0.0021,0,0,0,0,0.0044,0.0104,0.003,0,0.0049,0.0034,0.0065,0.0032,0.0033,0.0042,0.0179,0.005,0.0128,0.05,0.007,0.02,0.0015,0,0,0.0038,0.0025,0,0,0,0,0,0,0,0,0,0.0035,0,0,0.0017,0,0,0.0012,0,0,0.0016,0,0.0064,0,0.0017,0.0064,0.01,0.0035,0
189,0.0019,0.0046,0,0,0.0011,0.0054,0.0018,0,0.0014,0,0.0029,0.0016,0,0,0,0.0012,0.0013,0.0012,0.0012,0.0053,0.0057,0,0.0018,0.0024,0,0.0031,0.0073,0.0161,0.0069,0,0,0.0047,6e-04,0,0.0012,0,0,0.0054,0.0018,0.0012,0,0.0015,0,0.0016,0,0.0014,0.0031,0,0.0087,0.0014,0.0191,0.0043,0.0069,0.0369,0.008,0.0095,0.0068,0.0057,0.0175,0.0114,0.01,0.0506,0.0206,0.0315,0.0033,0.0014,0,0.0014,0.0039,0,0.0013,0.0014,0,0.0038,0.0035,0.0014,0,0,0.0034,0.0035,0.0011,0.0029,0.0095,0.0014,0,0.0037,0,0.0027,0.0041,0.0038,0.0035,0.0029,0,0.0253,0.0069,0.0035
190,0,0,0,0,0,0,0.0017,0,0,0,0,0,0,0.0015,0,0,0.0012,0.0024,0,0.0051,0.0031,0.0034,0.0017,0.0023,0.0027,0.0015,0.0063,0.003,0.0069,0,0.0033,0.0038,6e-04,0,0.0013,0.0013,0.0021,0,0,0,0,0.0015,0.0031,0.0015,0,0,0.005,0,0.0032,0.0092,0.0199,0.0073,0.0032,0.0074,0.0096,0.0027,0,0.0019,0.0214,0.006,0.0057,0.0517,0.0115,0.0104,0,0.0046,0,0,0.0032,0.0037,0.0014,0,0,0.0019,0.0043,0,0.0028,0,0,0,0.0021,0.0015,0.0025,0.0029,0,0,0.0028,0,0.0027,0.0019,0.0043,0.0015,0,0,0.0038,0.0035
191,6e-04,0,0,0,0,0.0018,0.0029,0.0042,0.0013,0,0.0016,0,0.0019,0.0012,0,0.0014,0.0024,0.0028,0.0029,0.0036,0.005,0.0088,0.0058,0.007,0.0038,0.0013,0.0047,0.0016,0,0,0.003,0.0014,0,0,0.0029,0,0,0.0018,0,0,0,0,0,0,0.0019,0.0012,0.0015,0,0.0011,0.0075,0.0212,0.004,0.0011,0.0081,0.0042,0.0071,0.0053,0.0062,0.027,0.0027,0.0178,0.065,0.0171,0.0161,0.0022,0.0025,0.0053,0.0027,0.0022,0.0027,0.0028,0.0014,0.0013,0.0031,0,0.0027,0,0.0081,0,0,0.0011,0.0037,0,0.0013,0.0022,0,0,0.0028,0.0013,0.0031,0,0.0014,0,0.0081,0.0029,0.0023
192,7e-04,0,0.0014,0,0,0,0,0.0013,0.0015,0,0.0034,0.0017,0,0.0014,0.0017,0.0014,0.004,0.0015,0.0014,0.0014,0.0158,0.0036,0.0079,0.0054,0.0062,0.0051,0.0034,0.0051,0.0019,0.0014,0.0033,0.0014,0,0.0015,0.0029,0.0057,0.0029,0.0036,0.002,0.0054,0.0015,0,0,0.0017,0,0,0.0017,0,0.0049,0.0033,0.0051,0.0017,0.0033,0.0197,0.0074,0.0074,0.0046,0.0089,0.0099,0.0045,0.01,0.0325,0.0253,0.0076,0.0049,0.0049,0,0.0017,0.0022,0,0.0029,0,0.003,0.0036,0,0,0.0025,0,0,0.0076,0.0037,0.0016,0.0051,0.0017,0.0011,0,0,0,0,0.0018,0,0.0015,0.0025,0.0041,0.0023,0
193,0.0039,0,0.0032,0,0,0,0.0037,0.0031,0,0.0024,0.0033,0.0038,0,0,0.0032,0.0029,0,0.0029,0,0.01,0.0105,0,0.0037,0,0,0.0024,0,0.0154,0,0.0026,0.0032,0,0.0013,0,0.0032,0,0,0,0,0,0,0,0,0,0.0085,0,0,0.0029,0.0069,0.0026,0.0103,0.0057,0,0.0056,0.0056,0.0032,0.0029,0,0.0212,0.0026,0.0053,0.1111,0.0578,0,0.0023,0,0,0,0,0.0056,0,0,0,0,0,0.0026,0,0,0,0,0.0023,0.0026,0,0.0029,0,0.0056,0,0,0,0,0,0,0,0,0.0058,0
194,0.0019,0,0,0,0,0,0,0,0,0.0029,0,0,0,0,0,0,0.0019,0,0.0042,0.0038,0.0058,0,0.0052,0.0079,0,0,0,0.0052,0.0073,0,0,0,0,0.0056,0.0042,0,0.0019,0,0.0052,0,0,0.0029,0,0,0,0,0,0,0.0063,0.0037,0.0259,0,0,0.015,0.0041,0.01,0.012,0,0.0153,0.0077,0.0315,0.0189,0.031,0.0081,0,0,0,0.0047,0,0,0.0041,0.01,0,0,0,0,0,0,0.0078,0.0081,0.0031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0081
195,0,0,0,0,0,0,0,0.0039,0,0,0.0037,0,0,0,0,0,0,0,0.0071,0,0.0112,0.0045,0,0,0.007,0.0029,0.0074,0.0083,0.0102,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037,0,0,0,0,0,0.0056,0.0034,0.0199,0,0.0031,0,0,0.0097,0,0.0072,0.0062,0,0.026,0.0143,0.0189,0.0176,0,0,0,0,0.0031,0.0057,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0035,0,0,0,0,0,0.0036,0,0,0.0065,0,0,0
196,0,0,0,0.0045,0.0055,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0046,0,0.0055,0.0054,0.005,0,0,0,0.0045,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0.0034,0.0429,0,0,0,0.0036,0,0.0159,0.0043,0.0252,0.0066,0.014,0.0204,0.021,0.0068,0,0,0,0,0.0079,0,0,0,0.004,0,0,0.0033,0,0,0.007,0,0.0032,0.0034,0,0,0,0.0072,0,0,0,0,0,0,0,0,0,0
197,0,0.003,0.0028,0,0,0,0,0,0,0,0.0022,0,0,0,0,0,0.0013,0.0089,0.0055,0,0,0,0.0032,0.0068,0.0027,0.0015,0.0067,0.0032,0.0038,0.0015,0.0023,0,0,0,0,0,0,0.0036,0.0032,0.0034,0,0,0,0,0.0038,0.0015,0.0023,0.0028,0.0053,0.0021,0.0033,0.0052,0.002,0,0.0066,0.0076,0.0043,0.0019,0.0164,0,0.0177,0.0457,0.014,0.0149,0.0018,0.0042,0,0,0,0.0041,0.0016,0,0.0021,0,0.0047,0,0,0.0057,0,0,0,0,0,0.0026,0,0,0,0,0.0021,0,0,0,0,0.0057,0,0.003
198,0,0,0,0.0016,0.0022,0,0,0,0,0.0014,0.0015,0,0,0.0011,0.0016,0,0.0014,0.0016,0.0031,0,0.0066,0,0.0064,0.0016,0,0.0027,0.0015,0.0047,0.0083,0.0034,0.0016,0.0015,7e-04,0,0,0,0,0.0023,0,0,0.0017,0,0,0.0024,0.0041,0,0,0,0,0.0075,0.0057,0.0015,0.0013,0.0077,0.0012,0.0016,0.0039,0.0014,0.0118,0.0025,0.0253,0.0335,0.0086,0.0129,0,0.0013,0,0,0.0025,0,0.0012,0,0.0013,0,0,0.0012,0,0,0.0065,0,0,0.0013,0.0028,0.0015,0.0013,0,0,0,0,0.0028,0,0,0,0,0.0022,0
199,5e-04,0.0013,0,0,0,0,0.0016,0.0026,0.0013,0.0011,0,0.0032,0,0,0.0013,0,0.0032,0.0025,0.0038,0.0027,0.0051,0.0019,0.0033,0.0013,0.0026,0.0046,0.0064,0.0048,0.0088,0.0029,0.0026,0.0038,0.0011,0.0025,0.0013,0.0027,0.0017,0,0,0.0013,0,0.0011,0,0,0,0,0,0,0.009,0.0046,0.0173,0.0037,0.003,0.0137,0.0057,0.0037,0.0044,0.003,0.0164,0.0047,0.0086,0.0859,0.0257,0.0143,0.0011,0.0012,0,0.0037,0.001,0,0.0011,0.0025,0.0011,0,0.0021,0,0.0021,0,0.002,0,0,0.0035,0.0043,0.0012,0.003,0.0046,0,0,0.0011,0.003,0,0.0012,0,0.0184,0,0.0048
200,7e-04,0,0,0,0,0,0,0,0.0018,0,0,0,0,0.001,0.0015,0,7e-04,0,0.0043,0,0.0034,0.0027,0.0097,0.0023,0.0018,0.0012,0.0015,0.0026,0.0025,0.001,0.0015,0.0022,7e-04,0,0,0.0023,0.0034,0.0027,0,0.0023,0,0,0,0,0.0025,0.001,0.0029,0,0.0034,0.0035,0.0208,0.0016,0.006,0.0186,0.0014,0.0045,0.0037,0.006,0.0184,0.0013,0.0049,0.0751,0.0117,0.008,0.0017,0,0,0.0031,0.0045,0,0.0014,0,0.0024,0.0015,0.002,0,0.0024,0,0,0,0,0.0023,0.0026,0.0016,0.003,0,0.0014,0,0,0,0.0041,0.0013,0,0.0047,0,0.0053
201,8e-04,0.0025,0.0026,0,0,0,0,0,0,0.0018,0,0.0028,0,0,0.0021,0,0.0017,0,0.0026,0.0142,0.0046,0,0.0056,0.0024,0.0024,0.0018,0,0.0168,0.0062,0,0.0021,0,0,0,0,0,0,0.0031,0,0,0,0,0,0,0.0031,0,0,0,0.0057,0.0039,0.0129,0,0.0019,0.0156,0.0059,0.0086,0.0095,0.0049,0.0395,0.006,0,0.0256,0.0186,0.019,0,0.0039,0.0065,0.0023,0.0019,0,0,0.0021,0.0038,0.0025,0,0,0.0035,0,0,0.0038,0,0,0.0065,0.0023,0,0,0,0,0,0.0025,0,0.002,0.0035,0,0,0.0038
